Год;Субъект;Численность населения;Базовый год
1990,0;65,0;152565435,0;1995
1991,0;65,0;153194299,0;1995
1992,0;65,0;153443241,0;1995
1993,0;65,0;153491803,0;1995
1994,0;65,0;153142370,0;1995
1995,0;65,0;153114389,0;1995
1990,0;88,0;40794391,0;1995
1991,0;88,0;40943343,0;1995
1992,0;88,0;41030519,0;1995
1993,0;88,0;41037214,0;1995
1994,0;88,0;40887143,0;1995
1995,0;88,0;40814765,0;1995
1990,0;5,0;1374361,0;1995
1991,0;5,0;1397341,0;1995
1992,0;5,0;1417667,0;1995
1993,0;5,0;1435925,0;1995
1994,0;5,0;1450889,0;1995
1995,0;5,0;1471582,0;1995
1990,0;6,0;1415669,0;1995
1991,0;6,0;1425888,0;1995
1992,0;6,0;1434404,0;1995
1993,0;6,0;1440816,0;1995
1994,0;6,0;1444463,0;1995
1995,0;6,0;1448416,0;1995
1990,0;7,0;1623315,0;1995
1991,0;7,0;1631154,0;1995
1992,0;7,0;1635863,0;1995
1993,0;7,0;1637073,0;1995
1994,0;7,0;1631304,0;1995
1995,0;7,0;1630967,0;1995
1990,0;10,0;2515277,0;1995
1991,0;10,0;2534344,0;1995
1992,0;10,0;2550242,0;1995
1993,0;10,0;2562839,0;1995
1994,0;10,0;2573619,0;1995
1995,0;10,0;2582359,0;1995
1990,0;17,0;1260340,0;1995
1991,0;17,0;1261754,0;1995
1992,0;17,0;1260985,0;1995
1993,0;17,0;1257689,0;1995
1994,0;17,0;1250397,0;1995
1995,0;17,0;1243876,0;1995
1990,0;21,0;1073680,0;1995
1991,0;21,0;1083023,0;1995
1992,0;21,0;1090995,0;1995
1993,0;21,0;1096615,0;1995
1994,0;21,0;1098917,0;1995
1995,0;21,0;1106039,0;1995
1990,0;26,0;758587,0;1995
1991,0;26,0;762126,0;1995
1992,0;26,0;764295,0;1995
1993,0;26,0;764422,0;1995
1994,0;26,0;762702,0;1995
1995,0;26,0;761653,0;1995
1990,0;30,0;1267066,0;1995
1991,0;30,0;1274649,0;1995
1992,0;30,0;1279564,0;1995
1993,0;30,0;1283242,0;1995
1994,0;30,0;1286228,0;1995
1995,0;30,0;1290906,0;1995
1990,0;32,0;1227411,0;1995
1991,0;32,0;1238095,0;1995
1992,0;32,0;1246724,0;1995
1993,0;32,0;1253415,0;1995
1994,0;32,0;1257449,0;1995
1995,0;32,0;1262020,0;1995
1990,0;34,0;6969631,0;1995
1991,0;34,0;6981399,0;1995
1992,0;34,0;6983554,0;1995
1993,0;34,0;6972490,0;1995
1994,0;34,0;6929668,0;1995
1995,0;34,0;6899759,0;1995
1990,0;42,0;850584,0;1995
