Год;Субъект;Тип;Возраст;F
1990;Российская Федерация;город;15-19;47,7
1990;Российская Федерация;город;20-24;141,2
1990;Российская Федерация;город;25-29;85,9
1990;Российская Федерация;город;30-34;44,1
1990;Российская Федерация;город;35-39;17,0
1990;Российская Федерация;город;40-44;3,4
1990;Российская Федерация;город;45-49;0,1
1990;Российская Федерация;город;50-54;0,0
1990;Российская Федерация;село;15-19;82,0
1990;Российская Федерация;село;20-24;207,1
1990;Российская Федерация;село;25-29;116,2
1990;Российская Федерация;село;30-34;61,9
1990;Российская Федерация;село;35-39;28,3
1990;Российская Федерация;село;40-44;7,6
1990;Российская Федерация;село;45-49;0,3
1990;Российская Федерация;село;50-54;0,0
1990;Российская Федерация;все;15-19;55,0
1990;Российская Федерация;все;20-24;156,5
1990;Российская Федерация;все;25-29;93,1
1990;Российская Федерация;все;30-34;48,2
1990;Российская Федерация;все;35-39;19,4
1990;Российская Федерация;все;40-44;4,2
1990;Российская Федерация;все;45-49;0,1
1990;Российская Федерация;все;50-54;0,0
1991;Российская Федерация;город;15-19;46,8
1991;Российская Федерация;город;20-24;129,8
1991;Российская Федерация;город;25-29;74,9
1991;Российская Федерация;город;30-34;37,6
1991;Российская Федерация;город;35-39;14,4
1991;Российская Федерация;город;40-44;2,9
1991;Российская Федерация;город;45-49;0,1
1991;Российская Федерация;город;50-54;0,0
1991;Российская Федерация;село;15-19;79,7
1991;Российская Федерация;село;20-24;200,1
1991;Российская Федерация;село;25-29;107,4
1991;Российская Федерация;село;30-34;54,7
1991;Российская Федерация;село;35-39;24,5
1991;Российская Федерация;село;40-44;6,7
1991;Российская Федерация;село;45-49;0,4
1991;Российская Федерация;село;50-54;0,0
1991;Российская Федерация;все;15-19;54,2
1991;Российская Федерация;все;20-24;145,9
1991;Российская Федерация;все;25-29;82,7
1991;Российская Федерация;все;30-34;41,5
1991;Российская Федерация;все;35-39;16,5
1991;Российская Федерация;все;40-44;3,7
1991;Российская Федерация;все;45-49;0,2
1991;Российская Федерация;все;50-54;0,0
1992;Российская Федерация;город;15-19;43,2
1992;Российская Федерация;город;20-24;116,7
1992;Российская Федерация;город;25-29;64,7
1992;Российская Федерация;город;30-34;31,4
1992;Российская Федерация;город;35-39;12,1
1992;Российская Федерация;город;40-44;2,6
1992;Российская Федерация;город;45-49;0,1
1992;Российская Федерация;город;50-54;0,0
1992;Российская Федерация;село;15-19;74,8
1992;Российская Федерация;село;20-24;187,5
1992;Российская Федерация;село;25-29;95,8
1992;Российская Федерация;село;30-34;46,3
1992;Российская Федерация;село;35-39;20,6
1992;Российская Федерация;село;40-44;5,7
1992;Российская Федерация;село;45-49;0,4
1992;Российская Федерация;село;50-54;0,0
1992;Российская Федерация;все;15-19;50,7
1992;Российская Федерация;все;20-24;132,9
1992;Российская Федерация;все;25-29;72,4
1992;Российская Федерация;все;30-34;34,9
1992;Российская Федерация;все;35-39;13,9
1992;Российская Федерация;все;40-44;3,2
1992;Российская Федерация;все;45-49;0,2
1992;Российская Федерация;все;50-54;0,0
1993;Российская Федерация;город;15-19;40,5
1993;Российская Федерация;город;20-24;104,4
1993;Российская Федерация;город;25-29;57,2
1993;Российская Федерация;город;30-34;26,2
1993;Российская Федерация;город;35-39;9,7
1993;Российская Федерация;город;40-44;2,0
1993;Российская Федерация;город;45-49;0,1
1993;Российская Федерация;город;50-54;0,0
1993;Российская Федерация;село;15-19;68,2
1993;Российская Федерация;село;20-24;170,3
1993;Российская Федерация;село;25-29;83,6
1993;Российская Федерация;село;30-34;37,5
1993;Российская Федерация;село;35-39;15,8
1993;Российская Федерация;село;40-44;4,3
1993;Российская Федерация;село;45-49;0,3
1993;Российская Федерация;село;50-54;0,0
1993;Российская Федерация;все;15-19;47,3
1993;Российская Федерация;все;20-24;119,1
1993;Российская Федерация;все;25-29;63,7
1993;Российская Федерация;все;30-34;28,8
1993;Российская Федерация;все;35-39;11,0
1993;Российская Федерация;все;40-44;2,5
1993;Российская Федерация;все;45-49;0,2
1993;Российская Федерация;все;50-54;0,0
