Субъект;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;61 694,5;49 422,6;41 518,3;41 808,2;39 224,3;41 036,4;34 300,9;32 702,6;30 684,6;32 016,7;30 295,8;31 703,2;33 832,2;36 449,3;41 040,1;43 559,5;50 552,1;61 221,3;64 058,4;59 891,56;58 430,7;62 264,6;65 741,51;70 484,9;84 191,4;85 349,6;80 240,1;79 223,9;75 657,7;82 041,8;82 184,5;92560,4
    Центральный федеральный округ;13 993,9;11 507,8;10 366;10 234;10 373;10 593,9;10 224,3;10 147,8;9 903,3;10 466;10 180,1;10 611,2;11 929,5;13 297,3;15 297,1;15 257,3;17 344,7;19 894;19 134,2;18 893,42;17 461,3;18 064;18 178,53;20 254,8;24 547,2;25 550,3;23 982,2;24 284,9;23 434,5;25 741,5;25 533,3;29198,5
        Белгородская область;717,5;504;537,8;541,4;599,2;817,7;816,1;758,8;766,9;779,3;703,7;595,4;663,1;671,2;807,4;830,8;938,8;1 064;1 112,2;1 097,35;1 100,4;1 148,2;1 215,15;1 294,6;1 469,2;1 554,9;1 350,1;1 300,5;1 215,5;1 260,4;1 148,6;1165,2
        Брянская область;633,1;523,1;572,5;409,6;401;362,2;252,7;253,5;263,3;276,6;225,3;236,9;241,7;221,8;229;197,6;246,3;298,5;321,7;352,87;390,9;421,4;453,02;526,8;550,7;644,3;665,1;558,3;403,1;407,1;426,7;451,5
        Владимирская область;628,9;456,1;451,1;518,8;440,1;352,1;295,3;280,6;285,8;290,7;280,6;246;253,3;279,4;324,3;326,9;341,3;376;419,4;450,98;480,9;437,6;507,79;518,9;606;646,7;655,7;695,4;652,8;745,4;726,2;828,7
        Воронежская область;939,7;745,4;676,3;653,9;552,6;697,1;621,1;621,1;540,3;553,4;568,7;584,6;652,8;750,2;702,5;784,4;854,3;974,4;1 120,5;887,7;1 049,7;996,2;1 110,37;1 348,7;1 572,9;1 626,9;1 679;1 687,3;1 691,1;1 878,9;1 725,8;1864,1
        Ивановская область;498,8;373,2;231,5;278,7;285,7;207,4;153,6;173,7;127,3;162,7;105,5;91,6;98,7;119,7;90,1;105,5;179,4;142;170,8;186,48;190,7;216,6;221,86;232;252,6;260,2;176,8;339,8;369,1;330,6;333,2;362,6
        Калужская область;580,7;412,6;414,2;283,6;362,1;319;202,4;311,7;200,7;225;178,4;194;198,2;216,7;214,8;262,7;264,9;458,2;631,5;456,72;500,7;598,4;612,78;657,1;807,8;796,1;737,3;882,3;787,2;794,7;819,3;862
        Костромская область;362,6;285,6;201,5;250;187,7;161,9;161,7;145,7;138;148,8;157,1;185;112,2;105;81,7;116,7;109,3;140,4;149;180,38;151,4;156,4;204,67;228,2;328,3;322,4;309,2;310,2;196,9;211,8;258,5;334,5
        Курская область;449,9;298,7;321,3;267,8;369,9;291,5;253,4;161;222,9;237,7;175,7;192,7;191,6;275,9;285,6;297,5;326,7;375,8;447,1;456,15;381,2;394,4;426,19;496,1;560,8;567,3;586,7;590,5;594,8;553,8;522,9;565,6
