Возраст матери;Субъект;Тип;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
15-19 лет;            Архангельская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;27,1;26,4;24,2;24,2;22,2;17,4;14,6;12,8;9,2;9,4;8,7
15-19 лет;            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;20,6;20,6;19,2;19,5;18,4;14,4;11;10,3;7,2;7,8;7
15-19 лет;            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;54,8;52,7;45,9;44,7;39,6;31,6;32,7;26,3;20,2;18,3;18,4
20-24 лет;            Архангельская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;95,8;101,9;99,8;96,2;86,8;80,1;72,4;63,2;60;53,6;51,2
20-24 лет;            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;74,6;75,7;74,3;69,1;68,1;62,6;58,1;53,3;51,6;47,7;43,8
20-24 лет;            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;204,7;270,9;309;366,8;303,6;267,6;183;119,8;100,4;82;90,3
25-29 лет;            Архангельская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;102,1;106;110,9;115,3;120,3;121,5;109,8;105,1;94,5;91,5;84,6
25-29 лет;            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;92;95,3;97,9;99,6;107,5;106,1;92,6;84,9;76,3;75,6;73,3
25-29 лет;            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;151,7;162,4;185,4;214,8;213,4;258,7;318,1;463,8;523,2;370,2;203,9
30-34 лет;            Архангельская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;68,9;75,5;80,2;83,4;87,2;90,6;84,9;80,5;78,4;74,4;76,6
30-34 лет;            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;66,6;72,6;75,8;77,5;84,3;85,9;77;73,4;69,3;66,4;64,3
30-34 лет;            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;79,3;89,4;102,7;115;104;121,6;143,2;142;169,7;173,2;277,3
35-39 лет;            Архангельская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;27,7;33,9;37,4;37,6;40,3;41,3;40,3;40,7;40,9;39,4;40,4
35-39 лет;            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;27,5;33,9;37,1;36,2;40,5;40;39,3;39,1;38,3;36,3;36,7
35-39 лет;            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;28,5;34;38,8;44,2;39,6;47,9;46,2;50;57,8;62,1;69,7
40-44 лет;            Архангельская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;4;5,5;6,7;7,6;7,9;8;7,8;8,4;8,7;8,6;8,7
40-44 лет;            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;3,7;5,7;6,9;7,3;7,6;7,6;7,7;8,8;8,7;8,2;8,3
40-44 лет;            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;4,8;5,1;6;8,9;8,9;9,3;7,8;6,6;8,6;10,5;11,3
45-49 лет;            Архангельская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;0,1;0,3;0,1;0,2;0,2;0,2;0,3;0,4;0,2;0,4;0,5
45-49 лет;            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;0,2;0,3;0,1;0,2;0,2;0,2;0,3;0,4;0,2;0,4;0,5
45-49 лет;            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;0;0,4;0,1;0,2;0,1;0,2;0,3;0,3;0,3;0,4;0,4
50-54 лет;            Архангельская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0,1;0;0;0;0
50-54 лет;            Архангельская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0,1;0;0;0;0
50-54 лет;            Архангельская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0
15-19 лет;            Ненецкий автономный округ (Архангельская область);все население;;;;37,6;51,7;42,7;35,4;52,1;43,9;47,4;37,3;61,5;62,6;54,5;42,1;42,8;45,9;52,8;68,6;63,1;52,9;50,3;35;43,9;33,1;42,3;37,1;35,4;27,1;21,4;23,8;17,4
15-19 лет;            Ненецкий автономный округ (Архангельская область);городское население;;;;31,8;50,2;38,1;32,4;42,9;42,4;40,9;26;58,2;52,8;43,5;37,5;37,5;38;43,5;45,9;43,7;27,4;35,8;17,8;32,6;25,5;25,5;28,3;24,8;16,8;13,7;18,3;14,8
15-19 лет;            Ненецкий автономный округ (Архангельская область);сельское население;;;;49,8;54,6;51,1;41,1;70,2;47,1;60,6;59,4;68,3;83;75,5;51;53,1;61,8;72;117,3;107,3;116,6;89;82,9;78,2;55,1;84,3;57,7;60,1;52,3;41,7;38,8;24,4
20-24 лет;            Ненецкий автономный округ (Архангельская область);все население;;;;169,8;156,3;157,1;141,4;120,4;134,8;101,5;139,7;142,1;132,8;143,1;140;130;107,1;130,7;134,4;127,2;131,2;130,7;170,7;170,1;166,6;164,1;140,6;104,4;95,1;105,7;91,1;82,8
20-24 лет;            Ненецкий автономный округ (Архангельская область);городское население;;;;141,9;140,5;124,9;113,7;91,2;111,1;89,4;117;122,9;94,6;113,2;107,1;94,5;76,3;100,4;103,6;95,1;97,9;90,3;100,9;117,8;88,2;102,6;91;81,9;74,8;96,3;72,7;71
20-24 лет;            Ненецкий автономный округ (Архангельская область);сельское население;;;;218,6;185,3;222,7;203,4;190,1;194,7;132,9;198,2;190,1;228,3;216,3;216,9;210,8;175,8;200,7;208,6;207,3;218,6;250,6;405,7;365,4;551,4;578,9;435,1;192,6;154,4;127,9;132,2;111,3
25-29 лет;            Ненецкий автономный округ (Архангельская область);все население;;;;78,2;104,7;110,1;102;99;107,7;102,9;96,2;95;108,5;116,3;100,9;89,8;94,1;107,8;101,4;110,8;108,8;93,9;120,1;122;136,5;141,3;181,8;171,4;154,9;144;152,5;132,4
25-29 лет;            Ненецкий автономный округ (Архангельская область);городское население;;;;56,8;89,7;94;60,7;89,3;90,3;67,9;78,2;84,1;88,6;107,6;87,2;72,7;77,5;92,8;85,4;97;100;80,1;102;99,6;116,9;127,4;143,3;150,4;123,9;104,6;96,9;105,1
25-29 лет;            Ненецкий автономный округ (Архангельская область);сельское население;;;;115,5;129;135,1;169,6;115,7;139,4;173,3;136;120,9;160,5;141,3;140,2;137,4;140,1;149,8;148;153;136,6;141,6;193,4;218,9;224,6;208,2;377,6;284,4;350,5;457,1;647,9;330,7
30-34 лет;            Ненецкий автономный округ (Архангельская область);все население;;;;38,9;54,4;48,9;46,9;52,9;51,9;51,9;51,9;54;59,1;65,7;49,1;57,3;58;60,5;61;77,5;82,1;74,9;88,6;72,9;84,4;105;113,1;90,5;108;105,2;115,1;107,3
30-34 лет;            Ненецкий автономный округ (Архангельская область);городское население;;;;28,6;45,8;37,9;34,2;32,5;36,4;38;44,2;39,8;58,3;56,7;46,8;53,7;42,2;55,3;60,5;72,6;69,6;69,1;82;69,2;76,7;96,1;110,4;71,7;91,4;87,8;99,9;86,5
