Возраст;Субъект;Пол;Тип;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
0;Российская Федерация;Женщины;все население;14,66;14,99;15,11;17,11;15,65;15,49;14,7;14,6;14,11;14,62;13,18;12,48;11,63;10,87;9,97;9,34;8,95;8,13;7,55;7,19;6,88;6,5;7,7;7,2;6,6;5,7;5,4;5;4,5;4,4;3,9;4
0;Российская Федерация;Женщины;городское население;14,34;14,58;14,76;16,54;15,06;14,82;13,88;13,76;13,31;13,86;12,64;11,97;11,11;10,36;9,54;8,77;8,32;7,45;6,96;6,6;6,29;5,8;7,2;6,7;6,2;5,2;4,9;4,5;4,2;4,2;3,7;3,9
0;Российская Федерация;Женщины;сельское население;15,44;15,94;15,88;18,29;16,88;16,93;16,49;16,46;15,88;16,29;14,37;13,67;12,91;12,12;11,03;10,73;10,45;9,71;8,9;8,55;8,28;8,1;9;8,4;7,6;7,5;6,9;6,4;5,5;5,2;4,7;4,3
0;Российская Федерация;Мужчины;все население;19,98;20,36;20,57;22,34;21,15;20,49;19,81;19,52;18,69;18,99;17,32;16,91;15,26;13,85;13,1;12,5;11,42;10,53;9,47;9,14;8,59;8,3;9,5;9;8,1;7,3;6,6;6,1;5,6;5,3;5;5,3
0;Российская Федерация;Мужчины;городское население;19,52;19,66;20,07;21,51;20,34;19,64;18,8;18,21;17,9;18,16;16,66;16,19;14,55;13,11;12,15;11,74;10,49;9,63;8,72;8,4;7,82;7,5;8,9;8,6;7,7;6,6;6;5,6;5,2;5;4,7;5
0;Российская Федерация;Мужчины;сельское население;21,09;21,97;21,68;24,07;22,86;22,31;22,01;22,41;20,47;20,84;18,84;18,61;16,98;15,65;15,46;14,37;13,65;12,64;11,2;10,87;10,44;10,2;10,9;10,2;9,4;9,2;8,4;7,7;6,9;6,2;6;6,1
0;Российская Федерация;Оба пола;все население;17,39;17,75;17,92;19,8;18,48;18,05;17,33;17,13;16,47;16,87;15,31;14,76;13,5;12,4;11,58;10,97;10,22;9,37;8,54;8,19;7,76;7,4;8,6;8,2;7,4;6,5;6;5,6;5,1;4,9;4,5;4,6
0;Российская Федерация;Оба пола;городское население;17,01;17,19;17,49;19,09;17,78;17,29;16,42;16,05;15,68;16,08;14,71;14,14;12,88;11,77;10,88;10,3;9,44;8,57;7,87;7,53;7,08;6,7;8,1;7,7;6,9;5,9;5,5;5,1;4,7;4,6;4,2;4,4
0;Российская Федерация;Оба пола;сельское население;18,33;19,03;18,86;21,26;19,95;19,69;19,32;19,51;18,24;18,63;16,67;16,21;14,99;13,93;13,3;12,6;12,09;11,22;10,08;9,74;9,39;9,1;10;9,3;8,5;8,4;7,6;7,1;6,2;5,7;5,3;5,3
10-14 лет;Российская Федерация;Женщины;все население;0,29;0,33;0,33;0,37;0,35;0,37;0,33;0,28;0,32;0,31;0,3;0,33;0,32;0,31;0,32;0,29;0,27;0,27;0,24;0,27;0,26;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
