Субъект;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Алтайский край;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6;16799,6
Амурская область;36191,3;36191,3;36191,3;36191,3;36191,3;36191,3;36191,3;36191,3;36191,3;36190,8;36190,8;36190,8;36190,8;36190,8;36190,8;3619,8;36190,8;36190,8;36190,8;36190,8;36190,8;36190,8;36190,8;36190,8
Архангельская область (кроме АО);41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;4131,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3;41310,3
Астраханская область;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;492,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4;4902,4
Белгородская область;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4;2713,4
Брянская область;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7;3485,7
Владимирская область;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;298,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4;2908,4
Волгоградская область;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7;11287,7
Вологодская область;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7;14452,7
Воронежская область;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6;5221,6
г. Москва;109,1;109,1;109,1;109,1;109,1;109,1;109,1;109,1;109,1;109,1;109,1;109,1;109,1;109,1;256,1;256,1;256,1;256,1;256,1;256,1;256,1;256,1;256,1;256,1
г. Санкт-Петербург;139,9;139,9;139,9;139,9;139,9;139,9;139,9;139,9;139,9;139,9;139,9;139,9;140,3;140,3;140,3;14,3;140,3;140,3;140,3;140,3;140,3;140,3;140,3;140,4
Дальневосточный федеральный округ;;;;;;;;;;;;616932,9;616932,9;;;;;;;;;;;
Еврейская а.о.;3626,6;3626,6;3626,6;3626,6;3626,6;3626,6;3626,6;3626,6;3626,6;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1;3627,1
Забайкальский край;41230;41230;41230;41230;41230;41230;41230;41230;41230;41230;41230;43189,2;43189,2;43189,2;43189,2;43189,2;43189,2;43189,2;43189,2;43189,2;43189,2;43189,2;43189,2;43189,2
Ивановская область;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7;2143,7
Иркутская область;75270,8;75270,8;75270,8;75270,8;75270,8;75270,8;75270,8;75270,8;75270,8;75270,8;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6;77484,6
Кабардино-Балкарская  Республика;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247;1247
Калининградская область;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5;1512,5
Калужская область;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7;2977,7
Камчатский край;17171,2;17171,2;17171,2;17171,2;17171,2;17171,2;17171,2;17171,2;17171,2;17171,2;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5;46427,5
Карачаево-Черкесская  Республика;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7;1427,7
Кемеровская область;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5;9572,5
Кировская область;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;1237,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4;12037,4
Костромская область;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;621,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1;6021,1
Краснодарский  край;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5;7548,5
Красноярский край;72367,1;72367,1;72367,1;72367,1;72367,1;72367,1;72367,1;72367,1;72367,1;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7;236679,7
Курганская область;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8;7148,8
Курская область;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7;2999,7
