Субъект;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Российская Федерация;59,6;94,8;131,4;116,5;111,6;106,7;103,8;112,9;102,7;115,8;108,9;124,9;112,2;104,6;103,3;103,3;97,5;101,1;137,3;104,9;100,8;103,2;100,4;98,6;102,4
    Центральный федеральный округ;;;;116,9;111,7;106,8;102,6;113;102,6;114,9;108,9;124,3;113,1;104,8;103,3;103,1;97;100,4;136,6;104,4;100,4;103,3;100,5;98,9;101,7
        Белгородская область;68,1;92,1;131,2;116,9;109,5;106,3;102,7;111,6;102,1;116,6;109;125,1;113,1;106;103,6;102,8;98,2;102,6;141;106,3;101,1;104,1;100,7;98,1;101,6
        Брянская область;63,9;94;133,9;117;103,8;105,3;101;112,2;101;113,9;108,1;123,2;111,2;104,8;102,2;102;96,1;101,3;139,2;104,9;99,5;103,2;100;96,9;101,8
        Владимирская область;67,5;94,7;139,5;115,9;111,4;103,4;100,8;112,2;102,1;113,4;109,7;124,4;112,2;103,7;103,1;102,3;95,5;103,3;138,3;105,1;100,1;103,9;100,4;97,9;101,9
        Воронежская область;66,6;95,5;130,4;118,5;110,9;106,8;101,7;114,2;102,3;113,5;105,9;122,2;113,2;105,8;102,7;101,9;96,7;101;141;106,3;100,8;103,5;98,7;97,9;101,9
        Ивановская область;67,6;92,9;142,5;116,3;107,6;103,6;102;114,4;99,7;112,1;105,9;123,9;109,8;104,9;102,1;102,1;96,3;102,1;138,7;104,9;99,8;103,6;99,3;97,5;101,9
        Калужская область;64,6;98;135,2;115,5;108,9;104,2;100,5;112,2;102,2;113,6;106,7;122,9;113,4;104;102,3;102,1;95,9;101,1;135,9;103,8;100,4;103,9;99,1;97,6;99,8
        Костромская область;67;95,7;133,6;116;109,1;104,8;101,3;114,1;102,5;114,2;106,8;124,3;111,2;104,4;101,9;102,8;97,6;102,2;139,6;105,5;100,9;102,6;100,2;98,5;100,8
        Курская область;67;89,6;131,8;112,9;108,4;102,8;104,6;115,5;99,9;112,8;105,6;123;111,6;104,8;104,6;103,4;97,8;100,8;142;105,4;99,9;103,1;99,6;97,4;101,1
        Липецкая область;70,2;89,3;130,7;120,3;110,7;105,3;101,5;113,3;101,7;114,3;105,6;124,8;112,8;106,2;103,6;103,5;96,9;102,3;140,6;105,8;100,5;103,4;99,5;97,6;102,4
        Московская область;61,4;95,3;134;114,6;112,8;106,8;102,6;111,7;103,8;112,9;110,6;122,8;115;105,3;0;102,9;96,8;98,8;134;103,6;99,7;103,7;100,3;96,8;100,2
        Орловская область;66,3;93,4;136,1;118,2;109,7;106,5;102,3;114,3;103,4;116,6;107,4;124,8;112,4;104,9;103,3;101,6;96,6;101,8;137,6;105,9;100,9;103,4;99,8;97,7;102,4
        Рязанская область;62,8;93;137,2;116,9;113,1;103,7;102,2;114,1;102,2;111,8;105,4;125,4;110,8;104,9;103,1;101,8;95,7;103,1;139,2;104,4;99,2;103,7;99,5;97,9;102,5
        Смоленская область;65,3;89,2;133,2;117,1;109,8;105,4;100,6;111,9;101,8;113,2;105,4;123;110,3;104,8;103,1;103;94,8;102,4;140,1;105,3;99,9;104,4;99,7;98,4;105,2
        Тамбовская область;68,4;90;131,8;119,6;110,2;107,5;100,2;114,9;101,4;115,9;106,5;125,5;112,2;105,4;102,2;102,7;96,5;101,3;142,5;106,1;100,3;102,8;99,2;97,4;101,5
        Тверская область;68,6;91,5;134,5;116,7;109,8;105,9;102,3;112,2;103,4;114,3;109,5;124,8;112,7;104,8;102,9;102,4;95,1;101,7;140;105,6;100,7;104,4;100;97,9;102,7
        Тульская область;65,1;92,1;132,5;118,3;109,7;102,1;100,1;112,8;103,2;111,9;106,7;123,9;111,2;105,8;102,2;102,4;97;102,5;138;105,1;100,2;104,2;99,2;98,2;105,3
        Ярославская область;66,7;96,5;136,8;116;110,2;106,7;102,5;110,8;101,4;113,2;108;123,5;111;104,8;101,8;103,1;95,5;100,4;136,6;106,1;99,5;102,9;100,5;96,2;104,8
        Город Москва столица Российской Федерации город федерального значения;52;87,3;131,6;116,9;113,7;108,3;104;112,6;103;116;110,3;124,6;112,9;104,6;0;104;97,3;99,8;133,1;103,6;100,6;102,7;101,2;100,9;101,3
    Северо-Западный федеральный округ;;;;117,8;113,4;105,3;105,2;112,5;103,5;116,6;107,7;124,9;111,4;104,7;103,5;103;96,4;101,1;133;104,2;100,4;102,9;100,6;98,4;101,9
        Республика Карелия;58,2;98,3;142,2;113,1;113,9;106,2;109,4;113,1;102,6;117,7;110;123,7;110,6;104,5;103,7;103,9;97,8;102,8;130,9;104,6;100,6;103,5;99,3;97,8;102,4
        Республика Коми;59,9;96,9;130,6;110,2;117,5;101,9;112,2;112,8;102,2;116,8;109,7;124,9;111,2;104,1;103,9;103,7;98,1;102;129,1;104,2;99,2;101,8;100,5;99;102,4
        Архангельская область;61,3;95,8;140,4;111,1;111,8;106,5;109,5;113,4;102,8;117,3;109,1;125;112;105,3;104;103;96,1;101,6;129,8;106,2;101;102,7;101;98;101,9
            Ненецкий автономный округ (Архангельская область);63,1;83;120,1;113,8;112,8;108,8;111,4;111,9;104,1;119,7;103,5;128,1;112,1;107,6;104,7;105,1;99,8;98;124,7;105,1;102,6;100,9;101,6;102,2;99,7
            Архангельская область (кроме Ненецкого автономного округа);;;;;;;;;;;;;;;;102,9;96;101,7;130;106,2;100,8;102,9;100,9;97,8;102
        Вологодская область;66,7;93,6;132,6;120;112,5;105,3;102,2;111,9;102,3;114,5;108,3;126,3;111,9;105;103,9;102,8;96,7;102,5;136,9;105,6;101,5;103,5;100,1;98;102,6
        Калининградская область;55,1;96,1;135,1;115,2;118,2;101,7;107;112,3;103;116,3;106,3;125,5;113;103,7;103,8;103;93,7;102,2;139,7;105,2;100;103,7;100,3;98,2;101,7
        Ленинградская область;68,2;90,7;130,7;117,3;113,3;105,3;100,1;112,1;101,8;115;106,5;123,2;111,1;104,6;103,6;103,8;97,6;100,4;136,1;104,8;101;103,6;101,4;99;102,9
        Мурманская область;56,1;93,2;128,5;106,9;110,9;105,2;115,5;112;103,3;117,4;108,9;122,6;111;105,3;104,4;103,7;98,5;101,1;126,2;103,7;99,8;102,5;100,7;99,7;99,1
        Новгородская область;68,3;94,9;134,4;118,7;110,4;103,9;101,8;113,6;101,1;116,4;108,3;125;113,6;105,3;102,9;103;97,6;102,1;138,6;105,2;100,7;103,6;100,4;99,8;103,6
        Псковская область;69,2;91,6;135,9;117,5;112,7;105,6;102,3;113,1;103,2;115,3;108,6;125;113,2;104,9;102,2;102,6;96,6;100,4;139,8;105,1;100,3;104,1;100,4;99,2;103,2
        Город Санкт-Петербург город федерального значения;62,2;90,3;130,3;123,6;112,9;105,5;102,1;112,2;105,5;116,7;106;124,8;110,6;104,6;103,1;102,2;95,6;100,7;132,4;103,4;100,1;102,6;100,4;97,8;101,6
    Южный федеральный округ;;;;115,9;109,4;107,9;102,1;112,2;102,1;116,1;107,5;124,3;111,5;104;102,8;102,9;96,6;101,5;140,2;105,2;100,7;103,9;100;98,2;102,2
        Республика Адыгея (Адыгея);66,1;88,4;132,9;114,2;110,8;105,3;100,7;112,3;102,8;117,2;107,3;125,1;109,5;104,5;102,8;102,3;97,1;100;143,4;105,8;101;103,8;99,7;97,5;102,5
        Республика Калмыкия;63,8;92,2;130,6;111,7;110,3;110,4;100,2;113,7;101,1;113,6;104,9;126,9;107,2;103,4;101,6;102,4;97,6;101,9;143,9;103,9;100,8;102,6;98,7;94,8;105,5
        Краснодарский край;63,1;95,8;137,4;112,6;110;107,8;101,2;111,9;101,7;116,8;108,7;124,7;111,2;103,7;102,8;102,4;96,4;101,7;140,4;105,1;101,4;104,1;100,2;98;102,8
