Год;Пол;Возраст;Число доживших;Коэффициент смертности;Число умерших;Вероятность смерти;Число живущих;Число прожитых человеко-лет;Ожидаемая прожолжительность предстоящей жизни
1959;Мужчины;0;100000;0,04662;4489;0,04489;96275;6284074;62,84
1959;Мужчины;1;95511;0,0068;648;0,00678;95188;6187799;64,79
1959;Мужчины;2;94864;0,00271;256;0,0027;94736;6092611;64,22
1959;Мужчины;3;94607;0,00181;171;0,00181;94522;5997875;63,4
1959;Мужчины;4;94437;0,00157;148;0,00157;94363;5903353;62,51
1959;Мужчины;5;94289;0,00136;128;0,00136;94225;5808991;61,61
1959;Мужчины;6;94160;0,00137;129;0,00137;94096;5714766;60,69
1959;Мужчины;7;94031;0,00132;124;0,00132;93969;5620671;59,77
1959;Мужчины;8;93907;0,00127;119;0,00127;93847;5526702;58,85
1959;Мужчины;9;93788;0,00098;92;0,00098;93742;5432855;57,93
1959;Мужчины;10;93696;0,00113;106;0,00113;93643;5339113;56,98
1959;Мужчины;11;93590;0,00081;76;0,00081;93552;5245470;56,05
1959;Мужчины;12;93514;0,00097;91;0,00097;93468;5151919;55,09
1959;Мужчины;13;93423;0,00089;83;0,00089;93381;5058450;54,15
1959;Мужчины;14;93340;0,00106;99;0,00106;93290;4965069;53,19
1959;Мужчины;15;93241;0,00112;105;0,00113;93189;4871779;52,25
1959;Мужчины;16;93136;0,00123;114;0,00122;93079;4778590;51,31
1959;Мужчины;17;93022;0,00169;157;0,00169;92944;4685510;50,37
1959;Мужчины;18;92865;0,00212;197;0,00212;92767;4592567;49,45
1959;Мужчины;19;92668;0,00193;179;0,00193;92579;4499800;48,56
1959;Мужчины;20;92489;0,00227;210;0,00227;92384;4407221;47,65
1959;Мужчины;21;92279;0,00197;182;0,00197;92188;4314837;46,76
1959;Мужчины;22;92097;0,00253;232;0,00252;91981;4222649;45,85
1959;Мужчины;23;91865;0,00277;254;0,00276;91738;4130667;44,96
1959;Мужчины;24;91611;0,00286;262;0,00286;91480;4038929;44,09
1959;Мужчины;25;91349;0,00299;272;0,00298;91213;3947449;43,21
1959;Мужчины;26;91077;0,00287;261;0,00287;90946;3856237;42,34
1959;Мужчины;27;90816;0,00309;280;0,00308;90675;3765290;41,46
1959;Мужчины;28;90535;0,00337;304;0,00336;90383;3674615;40,59
1959;Мужчины;29;90231;0,00327;294;0,00326;90084;3584232;39,72
1959;Мужчины;30;89936;0,004;359;0,00399;89757;3494148;38,85
1959;Мужчины;31;89577;0,00339;303;0,00338;89426;3404392;38
1959;Мужчины;32;89274;0,0043;383;0,00429;89083;3314966;37,13
1959;Мужчины;33;88891;0,00395;350;0,00394;88716;3225883;36,29
1959;Мужчины;34;88541;0,0043;380;0,00429;88351;3137167;35,43
1959;Мужчины;35;88161;0,00482;424;0,00481;87949;3048816;34,58
1959;Мужчины;36;87737;0,00446;391;0,00446;87542;2960867;33,75
1959;Мужчины;37;87346;0,00501;436;0,00499;87128;2873325;32,9
1959;Мужчины;38;86910;0,00562;487;0,0056;86666;2786197;32,06
1959;Мужчины;39;86423;0,00466;402;0,00465;86222;2699531;31,24
1959;Мужчины;40;86021;0,00636;545;0,00634;85749;2613309;30,38
1959;Мужчины;41;85476;0,00572;488;0,00571;85232;2527560;29,57
1959;Мужчины;42;84988;0,00634;537;0,00632;84719;2442328;28,74
1959;Мужчины;43;84451;0,0063;530;0,00628;84186;2357609;27,92
1959;Мужчины;44;83921;0,00694;581;0,00692;83631;2273423;27,09
1959;Мужчины;45;83340;0,0081;672;0,00806;83004;2189792;26,28
1959;Мужчины;46;82668;0,0078;642;0,00777;82347;2106788;25,48
1959;Мужчины;47;82026;0,00856;699;0,00852;81676;2024441;24,68
1959;Мужчины;48;81327;0,01003;812;0,00998;80921;1942765;23,89
1959;Мужчины;49;80515;0,00969;777;0,00965;80127;1861844;23,12
1959;Мужчины;50;79738;0,01252;992;0,01244;79242;1781718;22,34
1959;Мужчины;51;78746;0,01079;845;0,01073;78324;1702475;21,62
1959;Мужчины;52;77902;0,01478;1143;0,01467;77330;1624151;20,85
1959;Мужчины;53;76759;0,01423;1085;0,01414;76216;1546821;20,15
1959;Мужчины;54;75674;0,0164;1231;0,01627;75058;1470605;19,43
1959;Мужчины;55;74443;0,01825;1346;0,01808;73770;1395547;18,75
1959;Мужчины;56;73097;0,01885;1365;0,01867;72414;1321777;18,08
1959;Мужчины;57;71732;0,02122;1507;0,02101;70978;1249363;17,42
1959;Мужчины;58;70225;0,02365;1642;0,02338;69404;1178384;16,78
1959;Мужчины;59;68583;0,02355;1596;0,02327;67785;1108980;16,17
1959;Мужчины;60;66987;0,02831;1870;0,02792;66052;1041195;15,54
1959;Мужчины;61;65117;0,02492;1603;0,02462;64316;975143;14,98
1959;Мужчины;62;63514;0,03284;2052;0,03231;62488;910827;14,34
1959;Мужчины;63;61462;0,03209;1941;0,03158;60491;848339;13,8
1959;Мужчины;64;59521;0,03619;2116;0,03555;58463;787848;13,24
1959;Мужчины;65;57405;0,03949;2223;0,03872;56294;729385;12,71
1959;Мужчины;66;55182;0,03736;2024;0,03668;54170;673091;12,2
1959;Мужчины;67;53158;0,04504;2342;0,04406;51988;618921;11,64
1959;Мужчины;68;50817;0,04801;2383;0,04689;49625;566933;11,16
1959;Мужчины;69;48434;0,04702;2225;0,04594;47322;517308;10,68
1959;Мужчины;70;46209;0,05584;2510;0,05432;44954;469986;10,17
1959;Мужчины;71;43699;0,05189;2210;0,05057;42593;425032;9,73
1959;Мужчины;72;41488;0,07111;2849;0,06867;40064;382439;9,22
1959;Мужчины;73;38639;0,06836;2554;0,0661;37362;342375;8,86
1959;Мужчины;74;36085;0,07142;2488;0,06895;34841;305013;8,45
1959;Мужчины;75;33597;0,08452;2725;0,08111;32235;270172;8,04
1959;Мужчины;76;30872;0,07968;2366;0,07664;29689;237937;7,71
1959;Мужчины;77;28507;0,08603;2351;0,08247;27331;208248;7,31
1959;Мужчины;78;26155;0,11024;2733;0,10449;24789;180917;6,92
1959;Мужчины;79;23422;0,10147;2262;0,09658;22291;156128;6,67
1959;Мужчины;80;21160;0,13139;2609;0,1233;19856;133836;6,32
1959;Мужчины;81;18552;0,0993;1755;0,0946;17674;113980;6,14
1959;Мужчины;82;16797;0,14401;2256;0,13431;15668;96306;5,73
1959;Мужчины;83;14540;0,13899;1890;0,12999;13595;80638;5,55
1959;Мужчины;84;12651;0,15604;1831;0,14473;11735;67042;5,3
1959;Мужчины;85;10819;0,17112;1706;0,15769;9967;55307;5,11
1959;Мужчины;86;9114;0,18172;1518;0,16656;8355;45341;4,97
1959;Мужчины;87;7596;0,18403;1280;0,16851;6956;36986;4,87
1959;Мужчины;88;6316;0,18304;1059;0,16767;5786;30030;4,75
1959;Мужчины;89;5256;0,20243;966;0,18379;4773;24244;4,61
1959;Мужчины;90;4290;0,23671;908;0,21166;3836;19471;4,54
1959;Мужчины;91;3382;0,14736;464;0,1372;3150;15635;4,62
1959;Мужчины;92;2918;0,19721;524;0,17958;2656;12485;4,28
1959;Мужчины;93;2394;0,19212;420;0,17544;2184;9829;4,11
1959;Мужчины;94;1975;0,17144;312;0,15797;1819;7644;3,87
1959;Мужчины;95;1663;0,25339;374;0,22489;1476;5826;3,5
1959;Мужчины;96;1289;0,2648;301;0,23351;1138;4350;3,38
1959;Мужчины;97;987;0,27654;240;0,24316;867;3212;3,25
1959;Мужчины;98;748;0,28859;189;0,25267;653;2344;3,14
1959;Мужчины;99;559;0,30095;146;0,26118;486;1691;3,02
1959;Мужчины;100;413;0,31361;112;0,27119;357;1205;2,92
1959;Мужчины;101;301;0,32655;84;0,27907;259;848;2,82
1959;Мужчины;102;216;0,33976;63;0,29167;185;590;2,72
1959;Мужчины;103;154;0,35322;46;0,2987;131;405;2,63
1959;Мужчины;104;107;0,36692;33;0,30841;91;274;2,55
1959;Мужчины;105;74;0,38084;24;0,32432;62;183;2,47
1959;Мужчины;106;50;0,39495;17;0,34;42;121;2,4
1959;Мужчины;107;34;0,40925;11;0,32353;28;79;2,33
1959;Мужчины;108;22;0,4237;8;0,36364;18;51;2,28
1959;Мужчины;109;15;0,43828;5;0,33333;12;32;2,23
1959;Мужчины;110+;9;0,45297;9;1;21;21;2,21
1960;Мужчины;0;100000;0,0416;4019;0,04019;96610;6366644;63,67
1960;Мужчины;1;95981;0,00558;534;0,00556;95714;6270033;65,33
1960;Мужчины;2;95447;0,00236;225;0,00236;95334;6174320;64,69
1960;Мужчины;3;95222;0,00166;158;0,00166;95143;6078985;63,84
1960;Мужчины;4;95064;0,00134;127;0,00134;95000;5983842;62,95
1960;Мужчины;5;94937;0,00133;126;0,00133;94873;5888842;62,03
1960;Мужчины;6;94810;0,00124;118;0,00124;94751;5793968;61,11
1960;Мужчины;7;94693;0,00122;116;0,00123;94635;5699217;60,19
1960;Мужчины;8;94577;0,00113;106;0,00112;94524;5604582;59,26
1960;Мужчины;9;94471;0,00098;93;0,00098;94424;5510058;58,33
1960;Мужчины;10;94378;0,00091;86;0,00091;94335;5415634;57,38
1960;Мужчины;11;94292;0,00087;82;0,00087;94251;5321299;56,43
1960;Мужчины;12;94210;0,00082;78;0,00083;94171;5227048;55,48
1960;Мужчины;13;94133;0,00082;77;0,00082;94094;5132877;54,53
1960;Мужчины;14;94055;0,00096;90;0,00096;94010;5038783;53,57
1960;Мужчины;15;93965;0,00116;109;0,00116;93911;4944773;52,62
1960;Мужчины;16;93857;0,00126;119;0,00127;93797;4850862;51,68
1960;Мужчины;17;93738;0,00139;130;0,00139;93673;4757065;50,75
1960;Мужчины;18;93607;0,00204;190;0,00203;93512;4663392;49,82
1960;Мужчины;19;93417;0,00226;210;0,00225;93312;4569880;48,92
1960;Мужчины;20;93207;0,00232;216;0,00232;93099;4476568;48,03
1960;Мужчины;21;92991;0,00217;201;0,00216;92890;4383469;47,14
1960;Мужчины;22;92790;0,00263;243;0,00262;92668;4290579;46,24
1960;Мужчины;23;92546;0,00282;261;0,00282;92416;4197911;45,36
1960;Мужчины;24;92286;0,00295;271;0,00294;92150;4105495;44,49
1960;Мужчины;25;92014;0,00333;305;0,00331;91861;4013345;43,62
1960;Мужчины;26;91709;0,00312;286;0,00312;91566;3921483;42,76
1960;Мужчины;27;91423;0,00318;291;0,00318;91277;3829918;41,89
1960;Мужчины;28;91132;0,00354;322;0,00353;90971;3738640;41,02
1960;Мужчины;29;90810;0,00332;301;0,00331;90660;3647669;40,17
1960;Мужчины;30;90509;0,00416;375;0,00414;90322;3557010;39,3
1960;Мужчины;31;90134;0,00338;304;0,00337;89982;3466688;38,46
1960;Мужчины;32;89830;0,00437;391;0,00435;89634;3376706;37,59
1960;Мужчины;33;89438;0,00419;374;0,00418;89251;3287072;36,75
1960;Мужчины;34;89065;0,00424;377;0,00423;88876;3197821;35,9
1960;Мужчины;35;88688;0,00491;434;0,00489;88471;3108945;35,06
1960;Мужчины;36;88254;0,00505;445;0,00504;88031;3020474;34,22
1960;Мужчины;37;87809;0,00493;432;0,00492;87593;2932443;33,4
1960;Мужчины;38;87377;0,00534;466;0,00533;87144;2844850;32,56
1960;Мужчины;39;86911;0,00518;449;0,00517;86687;2757706;31,73
1960;Мужчины;40;86463;0,00621;535;0,00619;86195;2671019;30,89
1960;Мужчины;41;85927;0,00494;424;0,00493;85716;2584823;30,08
1960;Мужчины;42;85504;0,00737;627;0,00733;85190;2499108;29,23
1960;Мужчины;43;84876;0,00624;528;0,00622;84612;2413918;28,44
1960;Мужчины;44;84348;0,00643;540;0,0064;84078;2329306;27,62
1960;Мужчины;45;83808;0,00802;669;0,00798;83473;2245228;26,79
1960;Мужчины;46;83138;0,00817;676;0,00813;82800;2161755;26
1960;Мужчины;47;82462;0,00806;662;0,00803;82131;2078955;25,21
1960;Мужчины;48;81800;0,00967;787;0,00962;81407;1996824;24,41
1960;Мужчины;49;81013;0,00958;772;0,00953;80627;1915417;23,64
1960;Мужчины;50;80241;0,01189;948;0,01181;79767;1834790;22,87
1960;Мужчины;51;79293;0,01034;815;0,01028;78885;1755023;22,13
