Субъект;Место;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;все население;1319928;1277232;1053717;1106723;1080600;1075219;866651;928411;848691;911162;897327;1001589;1019762;1091778;979667;1066366;1113562;1262500;1179007;1199446;1215066;1316011;1213598;1225501;1225985;1161068;985836;1049735;893039;950167;770857;923550
Российская Федерация;городское население;;;;;;;;;;;;;;;;;;;;;;978039;911015;918768;923769;917587;782061;829811;705570;754256;609189;732770
Российская Федерация;сельское население;;;;;;;;;;;;;;;;;;;;;;337972;302583;306733;302216;243481;203775;219924;187469;195911;161668;190780
    Центральный федеральный округ;все население;330066;313608;259455;286009;288213;288369;241406;255900;238746;250273;244850;268477;268666;288092;257660;282709;287559;328165;300910;314089;311004;338451;308879;318209;322818;313157;263539;284184;239993;259596;205912;260025
    Центральный федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;278336;255362;262606;266897;269815;229486;244990;206676;224583;177315;221899
    Центральный федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;60115;53517;55603;55921;43342;34053;39194;33317;35013;28597;38126
        Белгородская область;все население;11925;12608;9909;11305;11501;11879;8489;9883;9332;10880;9016;10764;10856;12318;9898;12071;12419;14899;12375;12917;12977;14964;12400;13476;13207;12859;9522;11287;10432;10338;7476;9621
        Белгородская область;городское население;;;;;;;;;;;;;;;;;;;;;;10172;8517;9273;8801;9238;6992;8274;7638;7547;5577;7038
        Белгородская область;сельское население;;;;;;;;;;;;;;;;;;;;;;4792;3883;4203;4406;3621;2530;3013;2794;2791;1899;2583
        Брянская область;все население;13203;13311;10862;12104;11810;11611;8438;9173;8497;8949;8123;9803;9652;10094;8815;9894;10253;12215;10538;10477;10266;11793;10001;10045;10226;9736;7607;8582;7278;7754;5667;6787
        Брянская область;городское население;;;;;;;;;;;;;;;;;;;;;;8373;7018;7034;7130;7489;5819;6537;5582;5976;4360;5185
        Брянская область;сельское население;;;;;;;;;;;;;;;;;;;;;;3420;2983;3011;3096;2247;1788;2045;1696;1778;1307;1602
        Владимирская область;все население;13629;12880;11106;11844;11056;10962;8965;9712;8948;9551;10052;11277;11085;11093;9880;10716;11126;12330;11631;11736;11821;12809;11490;11426;11544;10716;8931;9189;8121;8166;6737;7889
        Владимирская область;городское население;;;;;;;;;;;;;;;;;;;;;;9915;9011;8869;9055;8973;7503;7690;6833;6771;5625;6544
        Владимирская область;сельское население;;;;;;;;;;;;;;;;;;;;;;2894;2479;2557;2489;1743;1428;1499;1288;1395;1112;1345
        Воронежская область;все население;21368;21681;17394;19255;18782;19381;14575;16109;15014;16763;14589;16814;16616;18747;14900;16549;17092;19826;17194;18131;18628;20908;17748;18830;18688;18162;14510;17149;14525;16039;11901;14849
        Воронежская область;городское население;;;;;;;;;;;;;;;;;;;;;;14067;12041;12798;12697;13588;10976;12886;10930;12070;8989;11212
        Воронежская область;сельское население;;;;;;;;;;;;;;;;;;;;;;6841;5707;6032;5991;4574;3534;4263;3595;3969;2912;3637
        Ивановская область;все население;10842;9946;8347;8687;8178;8010;6571;6741;6148;6352;6721;7065;7273;7398;6802;7185;8159;9148;8247;8028;7842;8445;8241;8384;8174;7629;6547;6661;5674;5694;4749;5351
