Субъект;1990;1991;1992;1993;1994;1995;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;729387;675431;672936;3559514;3427751;3490716;2931466;2774310;2672709;2420574;2252253;2114765;2124284;2076159;1981207;1989752;2044993;1973839;1740149;1944226;3095294;3901213;4201002;4354828;4489139;4444463;4561622;4786712;4464666;4014269;3847540
    Центральный федеральный округ;;;;642246;615552;628145;533720;496984;466283;426206;399618;382546;392467;184154;357869;355770;359517;365586;337464;389648;600701;817961;895941;969581;1052449;1058129;1125204;1220442;1147953;1042648;937561
        Белгородская область;;;;27445;29341;30507;28654;28556;28628;25963;25898;25566;26208;25900;23925;23743;21681;20211;19082;20211;32311;37833;41057;40375;42526;42923;50227;55909;52306;46106;40130
        Брянская область;;;;36403;35998;37251;31371;30197;30938;28438;27192;26427;26575;26071;24458;24474;25419;26022;25487;28844;41362;49132;48414;47518;47116;41503;40468;41951;36746;31544;30382
        Владимирская область;;;;32132;31043;33420;28638;26892;23818;21718;20211;18322;18379;17167;16585;15935;15824;16679;15214;17394;25271;32507;34077;35200;35911;36320;38900;39965;35911;30703;30221
        Воронежская область;;;;45923;45013;44009;37320;34317;33181;31605;29925;28962;29636;31127;30727;30951;30248;29569;25887;30399;44468;56622;62158;67621;69304;69662;76028;80501;76081;67504;55577
        Ивановская область;;;;30062;28822;29317;24262;23026;22930;20510;18715;17709;17266;16455;15404;15150;14704;14141;12136;13858;22070;27474;30125;30511;31556;31380;31538;32024;30003;26388;25207
        Калужская область;;;;25153;24462;25631;21012;20807;19493;16959;15282;14439;15144;14380;12716;12402;12383;12988;12222;13617;19291;26383;29717;30514;37242;35149;42555;42991;37007;32732;35603
        Костромская область;;;;19618;18901;19081;15660;15474;14744;14249;13567;13392;13575;12202;12752;12283;11027;9967;8840;9762;18469;21873;26218;28332;29230;28329;26481;26775;24496;21326;18740
        Курская область;;;;21864;25315;27176;23151;22321;19835;18593;16550;15231;14599;15511;14273;14566;15361;16148;14166;16498;26013;32356;37098;32949;34188;36755;41863;44188;40995;32126;30029
        Липецкая область;;;;18852;19636;19907;17823;16272;15155;14650;13492;12741;13362;14943;13081;12393;12836;12529;11813;14686;19102;27385;28280;31109;34982;36944;39815;41407;39012;32029;30201
        Московская область;;;;100354;94249;96607;81841;75977;69335;64422;60314;60067;63763;63125;57704;59600;63119;72278;68400;80902;116825;183847;201090;222281;243422;230645;251332;273375;263365;271827;239997
        Орловская область;;;;19038;18976;19854;17078;16194;15356;13856;13797;13267;13861;14055;12930;11102;12007;10433;10385;10976;18358;22860;22881;21182;22435;21056;22565;23706;20461;15573;14153
        Рязанская область;;;;21459;20628;21294;19772;19230;17572;16898;14880;14096;15738;14701;12718;12185;12962;12760;11726;13934;22131;26373;28317;31088;33260;34461;37096;40002;37987;34055;29994
        Смоленская область;;;;27562;26624;27947;22964;23757;22529;20105;18528;17552;18269;16756;16427;16129;15352;13685;12350;14330;22859;31577;34735;34509;38509;38406;39476;39318;37312;33860;29526
