Субъект;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;4103000;3608000;3437000;3244000;3060000;2766000;2652000;2498000;2346000;2181000;2139000;2015000;1946000;1865000;1797567;1675693;1582398;1479010;1385600;1292389;1186108;1124880;1063982;1012399;929963;848180;836611;779848;661045;621652;553495;517737
    Центральный федеральный округ;;;;;;;;;;;;;;;369534;345233;319799;297554;277378;254049;237706;229934;217297;204683;184185;168020;164938;154631;127701;119290;104988;99974
        Белгородская область;;;;;;;;;;;;;;;14940;12724;10660;10569;9691;8718;7659;7372;6622;6381;5380;5007;4951;4547;4010;3843;3100;2759
        Брянская область;;;;;;;;;;;;;;;17959;16587;15911;13980;14031;13847;12217;11515;10462;9945;9118;9167;8313;7347;6571;5830;4844;4462
        Владимирская область;;;;;;;;;;;;;;;18556;18254;16184;14766;14450;13218;12288;12018;11587;10442;9526;8641;8211;7466;6308;5963;4638;4752
        Воронежская область;;;;;;;;;;;;;;;26552;29428;27309;24620;19122;17284;14909;14871;14135;12997;11554;11047;10767;9703;7944;6820;5284;4783
        Ивановская область;;;;;;;;;;;;;;;13184;11542;11707;10865;9948;10107;9671;9066;7877;6649;6072;5346;4602;4131;3749;3235;2575;2177
        Калужская область;;;;;;;;;;;;;;;12573;11432;11255;9804;9480;8751;8154;7700;6835;5494;5996;5371;4924;4597;3972;3722;2928;3151
        Костромская область;;;;;;;;;;;;;;;9557;9302;9471;9236;9051;7704;6653;6509;5778;5171;4790;4545;4453;3983;3324;2982;2514;2330
        Курская область;;;;;;;;;;;;;;;14630;12916;12409;11324;11960;9693;8481;9209;8748;8515;7611;7018;6236;6269;5156;4707;3810;3376
        Липецкая область;;;;;;;;;;;;;;;14520;13262;12307;11134;10746;10111;9102;8769;7327;7242;6599;6121;5812;5403;4483;4004;3302;3224
        Московская область;;;;;;;;;;;;;;;66529;60020;58755;52906;47618;47494;45585;43446;42703;41320;38270;33608;31903;27885;22002;21240;20797;19145
        Орловская область;;;;;;;;;;;;;;;10412;9850;9209;8407;8740;7635;6833;6801;6222;5856;5362;4918;4236;4064;3357;3424;3057;2423
        Рязанская область;;;;;;;;;;;;;;;13046;13812;11248;10374;9169;7285;7305;7154;7141;6806;5685;4971;5864;4915;4033;3746;3361;3666
