Субъект;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;1005187;812408;939735;3971661;4293852;4089695;3589905;3322593;3095508;2856731;2662329;2334034;2201914;2168168;2117434;2088639;2122071;2284936;2215945;1987598;2102304;3415055;4196143;4496861;4624864;4734523;4706411;4773500;4911566;4749769;4120743;4277442
    Центральный федеральный округ;;;;834363;923148;876557;764552;716690;673405;612154;575870;510771;506029;511443;192893;483906;494809;522061;539989;497227;550735;815150;1057732;1127002;1186481;1274205;1234412;1323698;1404395;1333522;1101046;1128332
        Белгородская область;;;;50532;58133;49850;46357;44163;45467;45467;40864;37012;38173;36349;33733;34058;34146;33939;31384;28987;26186;40661;46424;47623;47966;48444;49990;53066;60032;61518;50335;46566
        Брянская область;;;;48482;50479;47825;38227;34447;33009;32129;29397;26955;26203;26046;24788;23759;23277;26371;26085;25504;26353;37072;44424;43380;44078;45294;41970;37990;38300;36709;32817;31287
        Владимирская область;;;;39264;45862;45377;37410;36150;33079;27308;24992;22885;20769;18913;16478;18421;17318;18147;18515;16393;18177;25019;29649;33575;35023;34369;36044;36047;36706;38604;29109;30695
        Воронежская область;;;;76511;74619;64646;59353;46233;45234;42387;39207;32600;33705;33074;33517;33903;32313;33237;35073;32506;35745;54331;66574;72015;81009;81517;82208;86138;87364;85771;68370;65639
        Ивановская область;;;;34129;36587;35152;30895;27584;26179;25952;22865;19875;18516;17265;15568;15166;15149;16137;17238;14103;14428;22865;28519;29600;29757;29316;30054;29311;28667;30819;26408;27887
        Калужская область;;;;35883;41518;37953;31828;28785;25721;21816;18717;16281;14678;14558;14925;15377;14714;15141;15682;14747;14187;22842;27782;32121;39943;38954;42905;44186;44927;35934;39593;58255
        Костромская область;;;;24134;25486;23490;19790;18822;17782;16432;16173;13856;14115;13541;11980;12293;11782;10826;9937;8601;8526;16682;21122;25919;28487;28593;27355;24347;23998;24190;21591;18768
        Курская область;;;;35179;41946;37437;31683;28246;24637;20968;19165;15219;13076;11017;12560;12224;13277;16391;17895;15133;17246;27903;35280;41772;36851;42002;45241;40875;42892;45278;35056;31727
        Липецкая область;;;;31381;34165;30546;26593;25736;22238;20820;20406;18633;14626;14306;14776;14233;14629;15752;14449;12808;15941;18253;27964;30407;33520;37507;41516;39169;40998;40851;31690;30459
        Московская область;;;;119712;137737;140245;125148;121450;113761;98176;100849;100441;112378;124518;119995;109609;126652;132685;147545;133890;145655;231320;293431;300010;329030;331025;334386;334429;378854;373563;323077;353038
        Орловская область;;;;30050;28397;24786;21760;20987;19816;18097;15681;15280;14072;13775;14145;12715;11284;13841;11148;11064;10257;18611;21444;21060;20595;20836;20325;19719;20991;19832;14536;13184
        Рязанская область;;;;28451;31290;29694;24347;23186;21929;19583;18065;14532;14207;15343;14230;14021;15112;16355;15813;14355;14138;25863;28934;30178;31542;33261;36325;38001;39577;40314;34876;32833
        Смоленская область;;;;38425;43992;38471;30509;25810;25222;22081;19695;17102;17177;18068;15536;16391;15541;15017;13986;12371;12308;26685;32402;33019;36557;37923;38601;41729;39171;36951;29571;30936
        Тамбовская область;;;;34215;36076;33438;26592;22983;20885;19691;18027;15332;14127;14610;14458;13406;12854;13973;16520;14939;14815;23388;32975;40418;42181;41693;38850;41822;36541;34749;28065;25131
        Тверская область;;;;50865;57264;55825;45351;37454;33239;29618;25782;22809;22548;20014;22191;19785;19984;23242;22970;20785;19063;33660;39280;42105;41179;42491;44225;40099;39606;42760;36291;37472
        Тульская область;;;;47679;50074;45398;36636;33773;30331;26383;22804;19377;19702;19528;20439;19464;18868;22672;21713;18152;18815;38075;43278;43307;47484;46559;45951;49213;51537;47803;41204;40422
        Ярославская область;;;;32833;37168;35165;28185;26910;23211;20577;19889;15840;16334;15130;14051;15949;16778;17313;16088;13234;13017;27061;32740;35500;36956;38887;40264;39872;40542;37705;31251;30134
        Город Москва столица Российской Федерации город федерального значения;;;;76638;92355;101259;103888;113971;111665;104669;103292;86742;81623;85388;83248;83132;81131;81022;87948;89655;125878;124859;205510;224993;224323;295534;238202;327685;353692;300171;227206;223899
    Северо-Западный федеральный округ;;;;384106;434841;415448;364534;322577;301031;257590;242824;218638;209913;201939;496618;178965;186653;191748;201400;179081;194975;380815;505658;592097;610732;583994;591313;639233;644644;604995;520148;544404
        Республика Карелия;;;;22763;23088;22766;20083;17160;16080;16099;16431;16883;16822;14194;14768;15171;15156;16103;14376;9458;8453;15585;19173;22017;23262;23668;23305;23419;23714;21644;17769;20431
        Республика Коми;;;;38327;38662;38338;34743;31647;27696;22332;20854;18826;16823;16665;15970;15380;15697;16701;14127;13865;14292;25603;28770;29876;32931;32931;35163;33125;32746;28542;27674;27167
        Архангельская область;;;;36274;36812;36268;31756;24963;21897;17714;17597;16284;16518;14176;13854;11219;11023;11661;10520;10441;9855;29522;36297;37635;36533;38424;41104;41436;43893;42400;34546;36599
            Ненецкий автономный округ (Архангельская область);;;;;1066;979;889;744;762;770;742;675;1137;644;665;429;496;527;548;858;613;1842;2380;2549;2217;2167;2137;2326;2422;2477;2177;2137
            Архангельская область (кроме Ненецкого автономного округа);;;;;35746;35289;30867;24219;21135;16944;16855;15609;15381;13532;13189;10790;10527;11134;9972;9583;9242;27680;33917;35086;34316;36257;38967;39110;41471;39923;32369;34462
        Вологодская область;;;;39645;39613;37428;32132;27270;25065;21029;18938;15351;14517;14798;13638;12638;12526;13895;13620;11359;14624;26600;31543;33622;35361;35477;36408;33251;30530;28070;23325;23295
        Калининградская область;;;;37302;44193;38414;34294;36405;35283;24519;22997;20647;20686;18566;15869;14455;14361;13825;13892;13125;14230;23620;31328;35875;35228;39183;42019;44806;47266;53270;47432;52778
        Ленинградская область;;;;54880;68757;67539;57735;50487;46601;41424;39734;36093;36287;37193;34406;31387;33004;33793;37213;30131;30163;57796;78674;87468;94862;87176;89824;105704;124177;114462;102308;108021
        Мурманская область;;;;34562;43744;36395;35012;27073;23755;20698;19073;17677;16523;17313;16550;15653;16763;16158;15250;13873;15863;28967;33381;33582;37933;38186;38819;39913;39193;35299;29255;28239
        Новгородская область;;;;24235;27126;26943;21467;22745;18386;14831;13189;11562;11496;10294;10703;9701;9304;10384;10388;10710;11915;21536;26396;26590;26226;23976;23749;23491;23165;24316;24590;23747
        Псковская область;;;;29084;33610;30935;24155;20665;18599;18213;16736;14305;13880;13972;12903;9876;10023;10940;9904;8798;8453;21265;25585;27796;26424;27889;28259;29308;29218;32140;28164;25843
        Город Санкт-Петербург город федерального значения;;;;67034;79236;80422;73157;64162;67669;60731;57275;51010;46361;44768;44232;43485;48796;48288;62110;57321;67127;130321;194511;257636;261972;237084;232663;264780;250742;224852;185085;198284
    Южный федеральный округ;;;;617358;624353;567595;496650;448553;429062;420030;385624;333400;314615;318069;422557;297461;303749;370077;337191;298974;308934;309111;359149;414170;426184;429651;506987;482645;503442;495200;476405;485354
        Республика Адыгея (Адыгея);;;;15038;13637;12502;10898;11453;10129;10553;9594;9954;9503;9132;9105;8029;8652;9382;8641;7175;6900;13094;14910;16293;18002;18350;18492;16852;17468;24426;19763;22910
        Республика Калмыкия;;;;8836;9830;10441;9767;9104;9979;10308;9594;8779;8545;7714;8047;7300;6782;7625;6785;6511;7229;10492;11888;11379;11611;13337;13811;12849;12522;12794;10699;11046
        Республика Крым;;;;;;;;;;;;;;;;;;;;;;;;;;42883;42032;43418;44872;49291;56049;53891
        Краснодарский край;;;;170098;173748;156952;133644;118260;104181;111355;97535;88628;78453;79608;77921;82453;85437;100582;92717;78732;84366;155794;176884;216251;210021;208363;212863;189902;200628;183794;168401;176448
        Астраханская область;;;;27731;30934;31044;30460;21406;18940;17742;17165;14406;15586;13819;12498;12490;15539;15929;13459;13124;12393;23287;25366;29491;33649;28450;27414;28483;28158;22487;17852;19205
        Волгоградская область;;;;87932;97256;87632;73507;65041;56123;49390;42236;34876;30961;29804;29406;27545;28119;29276;27698;24447;23852;32183;37065;40408;44179;49095;57227;60391;68684;61380;59782;57650
        Ростовская область;;;;126316;133221;109965;94935;84402;81624;80632;76372;64905;61264;56400;49705;50180;48393;53087;62790;49409;50796;74261;93036;100348;108722;112056;112515;110545;109984;119629;113066;111494
        Город федерального значения Севастополь;;;;;;;;;;;;;;;;;;;;;;;;;;24865;22633;20205;21126;21399;30793;32710
    Северо-Кавказский федеральный округ;;;;;;;;;;;;;;;;;;;;;;167566;192820;201430;204184;198539;188865;179369;187215;205525;169660;166411
        Республика Дагестан;;;;30745;33204;35437;32476;31877;43972;40720;31135;31905;28952;34207;26460;27064;28091;47786;31027;33946;35506;34718;39415;41797;44018;44235;43769;44237;45686;47059;39067;40176
        Республика Ингушетия;;;;16202;0;0;0;2132;2746;2161;19187;2928;5058;5664;4311;3843;3305;3598;5489;5826;6198;16176;11984;10961;9871;10065;7570;7270;9773;9054;7696;7889
        Кабардино-Балкарская Республика;;;;13184;12293;12384;11956;12957;11025;10901;9857;9503;9117;9192;8685;7596;7268;8093;7636;6891;6802;9774;11761;12103;12094;11384;11785;11768;11606;12705;11204;10324
        Карачаево-Черкесская Республика;;;;9515;10354;11190;9669;9183;8746;7808;7330;7324;7709;7630;6819;6068;8432;10952;8679;7507;7365;9792;11633;11365;11686;11203;10657;10045;10400;11328;10934;11987
        Республика Северная Осетия-Алания;;;;11367;12926;13801;12199;8937;11792;12928;12111;9657;9192;9624;8403;8935;8675;9245;7652;6632;7037;11057;12775;14160;15263;13648;12947;12583;12501;10613;8022;7014
        Чеченская Республика;;;;0;0;0;0;0;0;0;0;0;0;0;9661;9059;9961;12269;13011;13048;14877;15516;17488;18460;18287;20920;19712;17505;17371;17312;14526;14505
        Ставропольский край;;;;100394;96950;86247;77139;73801;69805;65532;53508;50535;50275;55275;46739;46899;45095;62253;51607;45726;45613;70533;87764;92584;92965;87084;82425;75961;79878;97454;78211;74516
    Приволжский федеральный округ;;;;860386;911769;861469;763711;709938;653903;612548;566020;483272;440115;428285;297760;430524;431646;456823;430788;384923;398446;660751;801684;843102;883495;863207;859054;834367;836845;819875;714703;759999
        Республика Башкортостан;;;;114427;125717;120938;110982;99357;91772;91655;85142;78058;72263;72278;68450;72921;73816;88485;87068;78288;75557;107232;132738;151321;153173;151716;147202;143762;144444;139252;120162;147699
        Республика Марий Эл;;;;20114;23193;22256;19112;17317;16959;16296;14679;14071;13280;13037;12545;11764;11303;11387;11126;8873;9853;18067;20028;20319;19323;19793;19661;19832;20957;24160;20957;20969
        Республика Мордовия;;;;18764;18772;18845;16671;14039;13129;11246;11350;9861;8705;10569;10844;9621;9506;10927;9247;8733;9845;15743;19602;20061;22781;25471;26119;28732;25869;23828;18733;20204
        Республика Татарстан (Татарстан);;;;98303;90824;96042;92886;89269;81426;75281;69744;58488;55502;57206;55649;57590;59469;63135;59230;53877;57305;87268;100488;98228;106559;97262;96932;95689;95749;90960;87849;96759
        Удмуртская Республика;;;;38560;42265;40811;34546;33724;31786;26923;24225;20272;18953;18568;18808;18307;17960;15234;13319;11304;12350;26932;35454;40435;44622;46210;47215;45128;45089;37446;35306;38819
        Чувашская Республика - Чувашия;;;;34693;35109;33766;32825;28693;29469;27320;24767;23367;21624;22050;23483;21422;22246;21294;21491;20025;21435;32644;36044;35739;37565;42829;47941;43958;45801;41477;36752;36277
        Пермский край;;;;72266;77382;75971;66394;64192;57525;55150;50814;44635;37577;31352;28741;30556;30040;29979;27087;25235;26453;62652;79094;84618;85727;79740;83324;82688;84283;76555;65681;69223
        Кировская область;;;;48182;50851;48892;41384;36110;32843;31385;30006;25941;22705;20580;19514;18436;17354;16410;17118;14943;17328;35262;46538;49721;52050;51098;49373;49484;49910;48157;41712;42213
        Нижегородская область;;;;73466;86425;83424;71979;67226;59368;52851;45985;39839;35611;34667;37626;35546;35367;37897;36960;31541;34131;61621;75736;78023;77798;78738;77429;75576;76120;81539;70374;67348
        Оренбургская область;;;;73131;76108;70242;58336;57721;51438;48267;43484;32864;29228;29740;29701;33322;29712;31949;25570;28053;25933;46044;56225;56973;59340;55970;54721;48622;45985;56302;48446;50227
        Пензенская область;;;;39662;41595;38123;33192;33705;31204;28458;25116;23912;21276;21535;20455;18801;20237;22184;20553;17260;16870;28727;33571;38223;40081;37534;35604;35218;33102;31438;25298;24145
        Самарская область;;;;88408;102272;88299;78851;70324;63952;59612;54906;43752;40756;35990;36473;41915;42810;44778;45312;38784;42105;58583;69066;69816;76744;72395;72887;70216;75919;80275;66355;71398
        Саратовская область;;;;84550;88921;80498;70960;65893;63287;59242;58012;47325;43577;43026;43559;46362;49082;46504;41125;35628;37872;57938;70955;73048;77852;74040;70490;66547;63816;62881;53771;50439
        Ульяновская область;;;;55860;52335;43362;35593;32368;29745;28862;27790;20887;19058;17687;16709;13961;12744;16660;15582;12379;11409;22038;26145;26577;29880;30411;30156;28915;29801;25605;23307;24279
