Субъект;Место;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;все население;559918;597930;639248;663282;680494;665904;562373;555160;501654;532533;627703;763493;853647;798824;635835;604942;640837;685910;703412;699430;8;669376;644101;667971;693730;611646;608336;611436;583942;620730;564704;644209
Российская Федерация;городское население;;;;;;;;;;;;;;;;;;;;;;523697;502494;520304;539405;481771;479641;483184;463046;494683;444748;503040
Российская Федерация;сельское население;;;;;;;;;;;;;;;;;;;;;;145679;141607;147667;154325;129875;128695;128252;120896;126047;119956;141169
    Центральный федеральный округ;все население;153624;161194;171040;182178;184195;179835;158578;155350;143687;147954;172098;204060;220839;202864;170864;162804;167353;179574;186234;186845;169508;174079;166889;175840;178701;161463;159704;162939;153515;168393;147979;165017
    Центральный федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;144307;137647;145214;146618;134984;134140;137214;129265;142904;124367;137340
    Центральный федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;29772;29242;30626;32083;26479;25564;25725;24250;25489;23612;27677
        Белгородская область;все население;5176;5354;6042;6574;7271;7300;6558;6203;5529;6079;6853;8214;8995;8194;6510;6070;5944;6550;6641;6765;6612;6978;6916;7718;7654;6774;6787;6782;6753;6519;6345;6667
        Белгородская область;городское население;;;;;;;;;;;;;;;;;;;;;;5034;4803;5325;5245;4690;4750;4702;4708;4542;4547;4617
        Белгородская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1944;2113;2393;2409;2084;2037;2080;2045;1977;1798;2050
        Брянская область;все население;5172;5733;6574;7036;7695;7795;5685;5754;3939;4577;6167;8541;8877;7884;6166;5693;6395;6751;7056;6996;6278;6586;6649;5908;7121;5883;5804;5529;5401;5406;5173;5255
        Брянская область;городское население;;;;;;;;;;;;;;;;;;;;;;4886;4853;4306;5125;4366;4345;4125;4055;4070;3867;3937
        Брянская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1700;1796;1602;1996;1517;1459;1404;1346;1336;1306;1318
        Владимирская область;все население;5637;6110;7025;7507;7678;7799;5691;5762;4718;5490;6516;7927;8660;7534;6303;6109;6575;6817;7133;6990;6391;6745;6485;6945;6795;5861;5592;5798;5508;5503;4771;5719
        Владимирская область;городское население;;;;;;;;;;;;;;;;;;;;;;5367;5159;5557;5375;4808;4585;4726;4478;4486;3930;4695
        Владимирская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1378;1326;1388;1420;1053;1007;1072;1030;1017;841;1024
        Воронежская область;все население;9169;10044;10678;10982;11347;10996;9365;8975;8700;9329;10334;14153;16216;14962;11390;10405;10088;11474;12048;12578;11060;11589;10848;11701;11204;9666;9617;9546;9652;10138;9492;9572
        Воронежская область;городское население;;;;;;;;;;;;;;;;;;;;;;8164;7606;8279;7813;6915;6902;6865;6962;7376;6920;6964
        Воронежская область;сельское население;;;;;;;;;;;;;;;;;;;;;;3425;3242;3422;3391;2751;2715;2681;2690;2762;2572;2608
        Ивановская область;все население;4121;4476;5282;6061;6244;6184;4113;3641;3824;3394;4397;5468;5827;5688;4720;4641;4779;4820;5152;5147;4450;4801;4589;4908;4967;4255;4217;4085;3961;4082;3985;4342
        Ивановская область;городское население;;;;;;;;;;;;;;;;;;;;;;4024;3855;4087;4123;3591;3543;3455;3318;3419;3386;3655
        Ивановская область;сельское население;;;;;;;;;;;;;;;;;;;;;;777;734;821;844;664;674;630;643;663;599;687
        Калужская область;все население;4152;4367;4657;5285;5440;5469;4846;4436;3573;3905;4748;6306;6402;6115;4807;4492;4688;4956;5304;5392;4718;5022;4916;4390;5073;4490;4532;4630;4468;4922;4355;5263
        Калужская область;городское население;;;;;;;;;;;;;;;;;;;;;;3963;3896;3489;4002;3601;3628;3694;3615;3930;3415;4152
        Калужская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1059;1020;901;1071;889;904;936;853;992;940;1111
        Костромская область;все население;2067;2325;2917;3197;3336;3564;2411;2566;1908;2013;2616;4181;3713;3821;2829;2727;2906;3234;3330;3273;3033;3154;3144;3350;3381;2809;2735;2759;2582;2807;2553;2674
        Костромская область;городское население;;;;;;;;;;;;;;;;;;;;;;2330;2330;2465;2502;2119;2080;2058;1961;2169;1942;2048
        Костромская область;сельское население;;;;;;;;;;;;;;;;;;;;;;824;814;885;879;690;655;701;621;638;611;626
        Курская область;все население;4525;4682;4990;5168;5533;5492;4691;4786;3767;4667;5566;6732;7816;7256;5875;5432;5320;5666;6039;5828;5301;5813;5582;4741;5820;5001;4911;4969;4936;4871;4540;4764
        Курская область;городское население;;;;;;;;;;;;;;;;;;;;;;4058;3870;3381;4092;3574;3555;3550;3551;3533;3357;3444
        Курская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1755;1712;1360;1728;1427;1356;1419;1385;1338;1183;1320
        Липецкая область;все население;4633;4908;5430;5622;5930;5760;5446;5200;4392;4676;5361;6905;7422;7420;5681;5615;5753;5957;6035;5823;5192;5499;5145;5707;5703;4930;4885;4990;4706;4914;4849;5171
        Липецкая область;городское население;;;;;;;;;;;;;;;;;;;;;;3624;3361;3769;3760;3364;3329;3366;3184;3343;3306;3525
        Липецкая область;сельское население;;;;;;;;;;;;;;;;;;;;;;1875;1784;1938;1943;1566;1556;1624;1522;1571;1543;1646
        Московская область;все население;29836;31292;34090;35687;35124;34298;30170;30385;28913;29059;33765;37733;40897;37696;32323;32387;33421;35201;37069;37229;33955;34822;32437;35264;35560;33718;33910;34789;29415;37500;31879;35698
        Московская область;городское население;;;;;;;;;;;;;;;;;;;;;;28901;27112;29112;29463;28512;29074;30217;25623;33391;28002;30029
        Московская область;сельское население;;;;;;;;;;;;;;;;;;;;;;5921;5325;6152;6097;5206;4836;4572;3792;4109;3877;5669
