Субъект;Место;Пол;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;все население;Женщины;967610;871307;770887;670294;683341;663615;633208;611748;622450;588540;613654;635854;677456;716367;729504;707822;718806;781350;833404;856307;869309;872825;923557;921519;943004;942369;917987;821079;776656;719016;697712;678379
Российская Федерация;все население;Мужчины;1021248;923319;816757;708689;724818;700191;671430;648195;660842;626149;653146;675750;719511;760934;772973;749554;760831;828772;880543;905380;919639;923804;978527;974303;999679;998210;970742;869228;827688;762058;738802;719874
Российская Федерация;все население;Оба пола;1988858;1794626;1587644;1378983;1408159;1363806;1304638;1259943;1283292;1214689;1266800;1311604;1396967;1477301;1502477;1457376;1479637;1610122;1713947;1761687;1788948;1796629;1902084;1895822;1942683;1940579;1888729;1690307;1604344;1481074;1436514;1398253
Российская Федерация;городское население;Женщины;673328;597417;518759;451721;465688;454499;435057;421667;430596;407590;429228;450159;483559;508895;520858;503112;506754;543499;580638;601593;613727;616663;657439;659578;676734;706774;693485;616705;583291;541832;524407;508088
Российская Федерация;городское население;Мужчины;712919;633099;549545;478809;494725;478961;462841;448546;457073;435050;457680;478483;514497;541670;553389;533758;537786;577242;614182;636022;650166;653384;698235;697732;718126;748509;733106;652822;621940;573505;555480;539643
Российская Федерация;городское население;Оба пола;1386247;1230516;1068304;930530;960413;933460;897898;870213;887669;842640;886908;928642;998056;1050565;1074247;1036870;1044540;1120741;1194820;1237615;1263893;1270047;1355674;1357310;1394860;1455283;1426591;1269527;1205231;1115337;1079887;1047731
Российская Федерация;сельское население;Женщины;294282;273890;252128;218573;217653;209116;198151;190081;191854;180950;184426;185695;193897;207472;208646;204710;212052;237851;252766;254714;255582;256162;266118;261941;266270;235595;224502;204374;193365;177184;173305;170291
Российская Федерация;сельское население;Мужчины;308329;290220;267212;229880;230093;221230;208589;199649;203769;191099;195466;197267;205014;219264;219584;215796;223045;251530;266361;269358;269473;270420;280292;276571;281553;249701;237636;216406;205748;188553;183322;180231
Российская Федерация;сельское население;Оба пола;602611;564110;519340;448453;447746;430346;406740;389730;395623;372049;379892;382962;398911;426736;428230;420506;435097;489381;519127;524072;525055;526582;546410;538512;547823;485296;462138;420780;399113;365737;356627;350522
    Центральный федеральный округ;все население;Женщины;208088;182920;160351;144612;147871;145510;139720;133626;136012;129960;137320;142744;150430;158734;163313;160784;163404;174141;187049;194333;199078;200537;212627;213450;215849;221502;221556;198565;189259;177968;172300;168792
    Центральный федеральный округ;все население;Мужчины;219713;194730;169281;153088;158358;153224;148741;142389;143929;138250;146543;152572;161093;169291;173968;169944;173068;185744;197177;206311;211296;212890;226983;225204;229070;235467;234309;211380;201870;188700;183564;178960
    Центральный федеральный округ;все население;Оба пола;427801;377650;329632;297700;306229;298734;288461;276015;279941;268210;283863;295316;311523;328025;337281;330728;336472;359885;384226;400644;410374;413427;439610;438654;444919;456969;455865;409945;391129;366668;355864;347752
    Центральный федеральный округ;городское население;Женщины;161893;140921;122914;110078;113452;112623;108732;104834;106717;102399;109398;114707;121467;128376;132319;130450;132087;140409;150955;157754;162362;163623;173560;175002;177133;188169;188653;169202;161237;153309;147455;143608
    Центральный федеральный округ;городское население;Мужчины;171312;150283;129814;116811;121481;118766;116055;112223;112958;108974;116799;122178;130173;137062;140986;138353;140260;150162;158937;167808;172658;173631;185454;184465;188301;199789;199547;180045;172087;162114;156955;152386
    Центральный федеральный округ;городское население;Оба пола;333205;291204;252728;226889;234933;231389;224787;217057;219675;211373;226197;236885;251640;265438;273305;268803;272347;290571;309892;325562;335020;337254;359014;359467;365434;387958;388200;349247;333324;315423;304410;295994
    Центральный федеральный округ;сельское население;Женщины;46195;41999;37437;34534;34419;32887;30988;28792;29295;27561;27922;28037;28963;30358;30994;30334;31317;33732;36094;36579;36716;36914;39067;38448;38716;33333;32903;29363;28022;24659;24845;25184
    Центральный федеральный округ;сельское население;Мужчины;48401;44447;39467;36277;36877;34458;32686;30166;30971;29276;29744;30394;30920;32229;32982;31591;32808;35582;38240;38503;38638;39259;41529;40739;40769;35678;34762;31335;29783;26586;26609;26574
    Центральный федеральный округ;сельское население;Оба пола;94596;86446;76904;70811;71296;67345;63674;58958;60266;56837;57666;58431;59883;62587;63976;61925;64125;69314;74334;75082;75354;76173;80596;79187;79485;69011;67665;60698;57805;51245;51454;51758
        Белгородская область;все население;Женщины;8861;7889;7163;6753;6833;6706;6236;5816;5826;5597;5800;5989;6291;6684;6709;6566;6872;7578;8204;8141;7997;8126;8694;8645;8794;8610;8369;7214;6962;6294;6017;5949
        Белгородская область;все население;Мужчины;9174;8280;7680;6999;7322;6990;6717;6195;6073;5810;6301;6318;6746;7169;7086;6920;7510;8098;8586;8704;8638;8854;9229;9240;9054;9163;8878;7879;7355;6889;6277;6296
        Белгородская область;все население;Оба пола;18035;16169;14843;13752;14155;13696;12953;12011;11899;11407;12101;12307;13037;13853;13795;13486;14382;15676;16790;16845;16635;16980;17923;17885;17848;17773;17247;15093;14317;13183;12294;12245
        Белгородская область;городское население;Женщины;5874;5093;4590;4328;4410;4297;3984;3779;3745;3615;3879;3974;4209;4516;4550;4407;4571;5011;5520;5421;5289;5515;5918;5818;5890;6020;6070;5095;4918;4470;4241;4178
        Белгородская область;городское население;Мужчины;6079;5446;4996;4575;4769;4449;4332;4067;3924;3819;4081;4184;4575;4792;4763;4637;5053;5453;5632;5794;5786;5933;6254;6172;6058;6408;6234;5609;5165;4821;4383;4431
        Белгородская область;городское население;Оба пола;11953;10539;9586;8903;9179;8746;8316;7846;7669;7434;7960;8158;8784;9308;9313;9044;9624;10464;11152;11215;11075;11448;12172;11990;11948;12428;12304;10704;10083;9291;8624;8609
        Белгородская область;сельское население;Женщины;2987;2796;2573;2425;2423;2409;2252;2037;2081;1982;1921;2015;2082;2168;2159;2159;2301;2567;2684;2720;2708;2611;2776;2827;2904;2590;2299;2119;2044;1824;1776;1771
        Белгородская область;сельское население;Мужчины;3095;2834;2684;2424;2553;2541;2385;2128;2149;1991;2220;2134;2171;2377;2323;2283;2457;2645;2954;2910;2852;2921;2975;3068;2996;2755;2644;2270;2190;2068;1894;1865
        Белгородская область;сельское население;Оба пола;6082;5630;5257;4849;4976;4950;4637;4165;4230;3973;4141;4149;4253;4545;4482;4442;4758;5212;5638;5630;5560;5532;5751;5895;5900;5345;4943;4389;4234;3892;3670;3636
        Брянская область;все население;Женщины;9274;8565;7921;7295;7061;6713;6274;5642;5699;5406;5492;5318;5765;5983;6002;5836;5841;6468;6886;7023;6659;6677;7133;6722;6559;6701;6562;5664;5360;4846;4560;4303
        Брянская область;все население;Мужчины;9828;8974;8467;7674;7373;6900;6536;6083;6096;5710;5619;5776;6133;6436;6479;6173;6251;6881;7373;7378;7068;7166;7258;7102;7059;7369;6802;5884;5769;5110;4951;4713
        Брянская область;все население;Оба пола;19102;17539;16388;14969;14434;13613;12810;11725;11795;11116;11111;11094;11898;12419;12481;12009;12092;13349;14259;14401;13727;13843;14391;13824;13618;14070;13364;11548;11129;9956;9511;9016
        Брянская область;городское население;Женщины;6399;5784;5368;4807;4693;4449;4193;3731;3865;3654;3693;3684;4034;4169;4240;4089;4035;4433;4558;4771;4476;4397;4671;4383;4310;4991;4914;4186;4021;3631;3372;3211
        Брянская область;городское население;Мужчины;6804;6141;5742;5080;4910;4622;4412;4123;4087;3779;3793;4032;4302;4517;4506;4360;4376;4743;4991;4988;4655;4830;4739;4661;4646;5387;5016;4407;4278;3840;3723;3507
        Брянская область;городское население;Оба пола;13203;11925;11110;9887;9603;9071;8605;7854;7952;7433;7486;7716;8336;8686;8746;8449;8411;9176;9549;9759;9131;9227;9410;9044;8956;10378;9930;8593;8299;7471;7095;6718
        Брянская область;сельское население;Женщины;2875;2781;2553;2488;2368;2264;2081;1911;1834;1752;1799;1634;1731;1814;1762;1747;1806;2035;2328;2252;2183;2280;2462;2339;2249;1710;1648;1478;1339;1215;1188;1092
