Субъект;Пол;Место;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;Женщины;все население;853593;862669;896440;1016650;1074899;1036183;998628;987228;975000;1031795;1045557;1050665;1082488;1093283;1055260;1058900;1018142;984596;985323;962229;977840;928226;929081;917419;936566;943714;938568;915305;915551;899801;1073472;1278675
Российская Федерация;Женщины;городское население;583870;592344;615244;697998;738333;716366;682315;672299;670195;714659;726730;734464;754139;760448;735461;731580;704511;685725;687903;672368;689996;657085;663863;657977;672124;678715;678652;663075;667000;659103;796290;953814
Российская Федерация;Женщины;сельское население;269723;270325;281196;318652;336566;319817;316313;314929;304805;317136;318827;316201;328349;332835;319799;327320;313631;298871;297420;289861;287844;271141;265218;259442;264442;264999;259916;252230;248551;240698;277182;324861
Российская Федерация;Мужчины;все население;802400;827988;911001;1112689;1226467;1167628;1083621;1028551;1013744;1112521;1179775;1204191;1249784;1272543;1240142;1245035;1148561;1095849;1090631;1048314;1050676;997494;977254;954390;975781;964827;952447;910820;913359;898506;1065114;1162919
Российская Федерация;Мужчины;городское население;556743;576543;639597;790364;876650;837816;763667;715472;709609;784807;837304;857790;884683;897121;871433;864182;796734;759686;755626;725223;731738;699611;689772;674528;690686;683176;676292;647160;650703;642547;772483;845563
Российская Федерация;Мужчины;сельское население;245657;251445;271404;322325;349817;329812;319954;313079;304135;327714;342471;346401;365101;375422;368709;380853;351827;336163;335005;323091;318938;297883;287482;279862;285095;281651;276155;263660;262656;255959;292631;317356
Российская Федерация;Оба пола;все население;1655993;1690657;1807441;2129339;2301366;2203811;2082249;2015779;1988744;2144316;2225332;2254856;2332272;2365826;2295402;2303935;2166703;2080445;2075954;2010543;2028516;1925720;1906335;1871809;1912347;1908541;1891015;1826125;1828910;1798307;2138586;2441594
Российская Федерация;Оба пола;городское население;1140613;1168887;1254841;1488362;1614983;1554182;1445982;1387771;1379804;1499466;1564034;1592254;1638822;1657569;1606894;1595762;1501245;1445411;1443529;1397591;1421734;1356696;1353635;1332505;1362810;1361891;1354944;1310235;1317703;1301650;1568773;1799377
Российская Федерация;Оба пола;сельское население;515380;521770;552600;640977;686383;649629;636267;628008;608940;644850;661298;662602;693450;708257;688508;708173;665458;635034;632425;612952;606782;569024;552700;539304;549537;546650;536071;515890;511207;496657;569813;642217
    Центральный федеральный округ;Женщины;все население;269028;269606;277234;312457;327382;314456;303751;302722;302050;317187;315684;318691;323858;323878;311578;309597;302318;291795;293676;284572;294358;268811;273355;270279;270298;271225;273439;263891;264423;258314;307796;369469
